Apple IIGS Tool Descriptions - Listing by Tool Call Number


Cal Set
Num Num  Set Name         Call Name           Description
$09 $02  Memory Manager   _NewHandle            Creates a new block and returns the handle to the block
$0A $02  Memory Manager   _ReallocHandle        Reallocates a purged block using new attributes
$0B $02  Memory Manager   _RestoreHandle        Reallocates purged blk with same attrib, user ID, & size as the purged handle
$0C $02  Memory Manager   _AddToOOMQueue        Adds the specified out-of-memory routine to the head of the out-of-memory queue
$0D $02  Memory Manager   _RemoveFromOOMQueue   Removes the specified out-of-memory routine from the queue
$10 $02  Memory Manager   _DisposeHandle        Discards a specified block and deallocates its handle
$11 $02  Memory Manager   _DisposeAll           Discards all of the handles and blocks belonging to a specifed user ID
$12 $02  Memory Manager   _PurgeHandle          Purges a specified purgeable, unlocked block, but doesn't deallocate handle
$13 $02  Memory Manager   _PurgeAll             Purges all of the purgeable, unlocked blocks for a specified user ID
$18 $02  Memory Manager   _GetHandleSize        Returns the size of a block
$19 $02  Memory Manager   _SetHandleSize        Changes the size of a specified block
$1A $02  Memory Manager   _FindHandle           Returns the handle of a block containing a specified address
$1B $02  Memory Manager   _FreeMem              Returns the total number of free bytes in memory
$1C $02  Memory Manager   _MaxBlock             Returns size of largest free mem block, but not mem that can be freed by purge or compact
$1D $02  Memory Manager   _TotalMem             Returns the size of all memory, including the main 256k
$1E $02  Memory Manager   _CheckHandle          Checks a specified handle to see whether it is valid
$1F $02  Memory Manager   _CompactMem           Compacts memory space
$20 $02  Memory Manager   _HLock                Locks a specified block
$21 $02  Memory Manager   _HLockAll             Locks all of the blocks belonging to a specified user ID
$22 $02  Memory Manager   _HUnLock              Unlocks a specified block
$23 $02  Memory Manager   _HUnLockAll           Unlocks all of the blocks belonging to a specified user ID
$24 $02  Memory Manager   _SetPurge             Sets the purge level of a specified block
$25 $02  Memory Manager   _SetPurgeAll          Sets the purge level of all blocks belonging to a specified user ID
$28 $02  Memory Manager   _PtrToHand            Copies spec. # of bytes from src to dest., w/src spec. by pointer, & dest. spec. by handle
$29 $02  Memory Manager   _HandToPtr            Copies spec. # of bytes from src to dest., w/src spec. by handle, & dest. spec. by pointer
$2A $02  Memory Manager   _HandToHand           Copies spec. # of bytes from src to dest., w/src spec. by handle, & dest. spec. by handle
$2B $02  Memory Manager   _BlockMove            Copies a specified number of bytes from a source to a destination
$2F $02  Memory Manager   _RealFreeMem          Returns number of free bytes in memory, plus number that could be made free by purging
$30 $02  Memory Manager   _SetHandleID          Provides a supported way to determine and optionally change the User ID associated with a Memory Manager handle

Misc Tools

$01 $03  Misc Tools       _MTBootInit           Initializes the Miscellaneous Tools Set; called only by Tool Locator
$02 $03  Misc Tools       _MTStartUp            Starts up the Miscellaneous Tool Set for use by an application
$03 $03  Misc Tools       _MTShutDown           Shuts down the Miscellaneous Tool Set when an application quits
$04 $03  Misc Tools       _MTVersion            Returns the version number of the Miscellaneous Tool Set
$05 $03  Misc Tools       _MTReset              Resets the Miscellaneous Tool Set; called only when the system is reset
$06 $03  Misc Tools       _MTStatus             Indicates whether the Miscellaneous Tools Set is active
$09 $03  Misc Tools       _WriteBRam            Writes 252 bytes of data from a spec mem loc, plus 4 checksum bytes, to Battery RAM
$0A $03  Misc Tools       _ReadBRam             Reads 252 bytes of data from Battery RAM, plus 4 checksum bytes, & writes to spec mem loc
$0B $03  Misc Tools       _WriteBParam          Writes data to a specified paramameter in Battery RAM
$0C $03  Misc Tools       _ReadBParam           Reads data from a specified parameter in Battery RAM
$0D $03  Misc Tools       _ReadTimeHex          Returns current time in hexadecimal format
$0E $03  Misc Tools       _WriteTimeHex         Sets the current time in hexadecimal format
$0F $03  Misc Tools       _ReadAsciiTime        Reads elapsed time since 00:00:00, Jan 1, 1904, converts it to ASCII output, & puts @ addr
$10 $03  Misc Tools       _SetVector            Sets the vector address for a specified interrupt manager or handler
$11 $03  Misc Tools       _GetVector            Returns the vector address for a specified interrupt manager or handler
$12 $03  Misc Tools       _SetHeartBeat         Installs a specified task into the HeartBeat Interrupt Task queue
$13 $03  Misc Tools       _DelHeartBeat         Deletes a specified task from the HeartBeat Interrupt Task queue
$14 $03  Misc Tools       _ClrHeartBeat         Removes all tasks from the Heartbeat Interrupt Task queue by clearing Heartbeat Task ptr
$15 $03  Misc Tools       _SysFailMgr           Displays system failure message and halts program execution
$16 $03  Misc Tools       _GetAddr              Returns an address of a byte, word, or long parameter referenced by the firmware
$17 $03  Misc Tools       _ReadMouse            Returns mouse position, status, and mode
$18 $03  Misc Tools       _InitMouse            Initializes mouse clamp values to $000 min & $3FF max & clears mouse mode & status
$19 $03  Misc Tools       _SetMouse             Sets the mouse mode
$1A $03  Misc Tools       _HomeMouse            Positions the mouse at the minimum clamp position
$1B $03  Misc Tools       _ClearMouse           Sets X & Y axis to $0000 if min clamps are negative or to the min clamp pos if positive
$1C $03  Misc Tools       _ClampMouse           Sets new clamp values & then sets the mouse position to the minimum clamp values
$1D $03  Misc Tools       _GetMouseClamp        Returns the current mouse clamp values
$1E $03  Misc Tools       _PosMouse             Positions the mouse at specified coordinates
$1F $03  Misc Tools       _ServeMouse           Returns the mouse interrupt status
$20 $03  Misc Tools       _GetNewID             Creates a new user ID
$21 $03  Misc Tools       _DeleteID             Deletes all references to a specified user ID
$22 $03  Misc Tools       _StatusID             Indicates whether a specified user ID is active
$23 $03  Misc Tools       _IntSource            Enables or disables certain interrupt sources
$24 $03  Misc Tools       _FWentry              Allows some Apple II emulation-mode entry points to be supported from full native mode
$25 $03  Misc Tools       _GetTick              Returns the current value of the tick counter
$26 $03  Misc Tools       _PackBytes            Packs bytes into a special format that uses less storage space
$27 $03  Misc Tools       _UnPackBytes          Umpacks data from the packed format used by PackBytes
$28 $03  Misc Tools       _Munger               Manipulates bytes in a string of bytes
$29 $03  Misc Tools       _GetIRQEnable         Returns w/hardware interrupt enable states for interrupt srces that Misc.Tool can control
$2A $03  Misc Tools       _SetAbsClamp          Sets the clamp values for an absolute device to new values
$2B $03  Misc Tools       _GetAbsClamp          Returns the current values of the absolute device clamps
$2C $03  Misc Tools       _SysBeep              Calls the Apple II monitor entry point BELL1
$2D $03  Misc Tools       _BasicInit            Unofficial call to set up the clamp flags when calling from BASICMOUSE
$2E $03  Misc Tools       _AddToQueue           Adds the specified entry to a queue
$2F $03  Misc Tools       _DeleteFromQueue      Deletes a specified element from a queue
$30 $03  Misc Tools       _SetInterruptState    Copies the specified number of bytes from the input interrupt state record into the system interrupt variables
$31 $03  Misc Tools       _GetInterruptState    Copies the specified number of bytes into an input interrupt record from the system interrupt variables
$32 $03  Misc Tools       _GetIntStateRecSize   Returns the size (in bytes) of the interrupt state record
$33 $03  Misc Tools       _ReadMouse2           Returns the mouse position, status, and mode
$34 $03  Misc Tools       _GetCodeResConverter  Returns the address of a routine that loads code resources
$35 $03  Misc Tools       _GetROMResource       This call is for use only by system firmware
$36 $03  Misc Tools       _ReleaseROMResource   This call is for use only by system firmware
$37 $03  Misc Tools       _ConvSeconds          Allows conversion to and from a long integer containing the number of seconds since January 1, 1904
$38 $03  Misc Tools       _SysBeep2             SysBeep2 takes an integer parameter indicating what sound to make
$39 $03  Misc Tools       _VersionString        Converts a 32-bit Version number into a Pascal string
$3A $03  Misc Tools       _WaitUntil            Provides an upper limit on the frequency of repeating actions
$3B $03  Misc Tools       _StringToText         StringToText translates 8-bit-character text into similar text that can be displayed on the Apple IIGS text screen
$3C $03  Misc Tools       _ShowBootInfo         Provides a way for special system extensions to make their presence known while the system is starting up
$3D $03  Misc Tools       _ScanDevices          Provides easy access to a GS/OS system service vector which checks for disk insertions
$3E $03  Misc Tools       _AlertMessage         Displays a message on either the text screen or the Super Hi-Res screen and makes the user choose 1 of up to 3 buttons
$3F $03  Misc Tools       _DoSysPrefs           Clears and then sets specified bits in the GS/OS system preferences word

QuickDraw

$01 $04  QuickDraw        _QDBootInit           Initializes QuickDraw II; called only by the Tool Locator - not by application
$02 $04  QuickDraw        _QDStartUp            Starts up QuickDraw II for use by an application
$03 $04  QuickDraw        _QDShutDown           Shuts down QuickDraw II when an application quits
$04 $04  QuickDraw        _QDVersion            Returns the version number of QuickDraw II
$05 $04  QuickDraw        _QDReset              Resets QuickDraw II; called only when the system is reset - not by applicaiton
$06 $04  QuickDraw        _QDStatus             Indicates whether QuickDraw II is active
$09 $04  QuickDraw        _GetAddress           Returns a pointer to a specified table
$0A $04  QuickDraw        _GrafOn               Turns on Super Hi-Res graphics mode
$0B $04  QuickDraw        _GrafOff              Turns off Super Hi-Res graphics mode
$0C $04  QuickDraw        _GetStandardSCB       Returns a copy of the standard scan line control byte (SCB)
$0D $04  QuickDraw        _InitColorTable       Returns a copy of the standard color table for the current mode
$0E $04  QuickDraw        _SetColorTable        Sets a specified color table to specified values
$0F $04  QuickDraw        _GetColorTable        Fills a specified color table with the contents of another color table
$10 $04  QuickDraw        _SetColorEntry        Sets the value of a color in a specified color table
$11 $04  QuickDraw        _GetColorEntry        Returns the value of a specified color in a specified color table
$12 $04  QuickDraw        _SetSCB               Sets the SCB to a specified value
$13 $04  QuickDraw        _GetSCB               Returns the value of a specified SCB
$14 $04  QuickDraw        _SetAllSCBs           Sets all SCBs to a specified value
$15 $04  QuickDraw        _ClearScreen          Sets the words in screen memory to a specified value
$16 $04  QuickDraw        _SetMasterSCB         Sets the master SCB to a specified value
$17 $04  QuickDraw        _GetMasterSCB         Returns a copy of the master SCB
$18 $04  QuickDraw        _OpenPort             Init spec mem loc as a std Grafport, allocate new visbl & clip regn & make GrafPrt current
$19 $04  QuickDraw        _InitPort             Initializes specified memory locations as a standard port
$1A $04  QuickDraw        _ClosePort            Deallocates the clipping and visible regions in a port
$1B $04  QuickDraw        _SetPort              Makes a specified port the current GrafPort
$1C $04  QuickDraw        _GetPort              Returns a pointer to the current GrafPort
$1D $04  QuickDraw        _SetPortLoc           Sets the current port's locInfo record to specified location information
$1E $04  QuickDraw        _GetPortLoc           Gets the current port's locInfo record and puts it at the specified location
$1F $04  QuickDraw        _SetPortRect          Sets the current GrafPort's port rectangle to the specified rectangle
$20 $04  QuickDraw        _GetPortRect          Returns the current GrafPort's port rectangle
$21 $04  QuickDraw        _SetPortSize          Changes the size of the current Grafport's port rectangle
$22 $04  QuickDraw        _MovePortTo           Changes te location of the current GrafPort's port rectangle
$23 $04  QuickDraw        _SetOrigin            Adjusts content of port & bounds rectangle so up/left corner of port rect is set @ spec pt
$24 $04  QuickDraw        _SetClip              Copies a specified region into the clipping region
$25 $04  QuickDraw        _GetClip              Copies the clipping region to a specified region
$26 $04  QuickDraw        _ClipRect             Changes clipping region of current GrafPort to a rectangle equal to a spec. rectangle
$27 $04  QuickDraw        _HidePen              Decrements the pen level
$28 $04  QuickDraw        _ShowPen              Increments the pen level
$29 $04  QuickDraw        _GetPen               Returns the pen location
$2A $04  QuickDraw        _SetPenState          Sets the pen state in the GrafPort to specified values
$2B $04  QuickDraw        _GetPenState          Returns the pen state from the GrafPort to a specified location
$2C $04  QuickDraw        _SetPenSize           Sets the current pen size to a specified pen size
$2D $04  QuickDraw        _GetPenSize           Returns the current pen size to a specified location
$2E $04  QuickDraw        _SetPenMode           Sets the current pen mode to a specified pen mode
$2F $04  QuickDraw        _GetPenMode           Returns the pen mode from the current GrafPort
$30 $04  QuickDraw        _SetPenPat            Sets the current pen pattern to a specified pen pattern
$31 $04  QuickDraw        _GetPenPat            Copies the current pen pattern from the current GrafPort to a specified location
$32 $04  QuickDraw        _SetPenMask           Sets the pen mask to a specified mask
$33 $04  QuickDraw        _GetPenMask           Returns the pen mask to a specified location
$34 $04  QuickDraw        _SetBackPat           Sets the background pattern to a specified pattern
$35 $04  QuickDraw        _GetBackPat           Copies current background pen pattern from current GrafPort to a specified location
$36 $04  QuickDraw        _PenNormal            Sets the pen state to the standard state; pen location is not changed
$37 $04  QuickDraw        _SetSolidPenPat       Sets the pen pattern to a solid pattern using the specified color
$38 $04  QuickDraw        _SetSolidBackPat      Sets the background pattern to a solid pattern using a specified color
$39 $04  QuickDraw        _SolidPattern         Sets a specified pattern to a solid pattern using a specified color
$3A $04  QuickDraw        _MoveTo               Moves the current pen location to a specified point
$3B $04  QuickDraw        _Move                 Moves the current pen location by specified horizontal & vertical displacements
$3C $04  QuickDraw        _LineTo               Draws a line from the current pen location to a specified point
$3D $04  QuickDraw        _Line                 Draws a line from current pen location to a new point spec by horiz & vert displacements
$3E $04  QuickDraw        _SetPicSave           Sets the picSave field in the GrafPort to a specified value
$3F $04  QuickDraw        _GetPicSave           Returns the value of the picSave field of the GrafPort
$40 $04  QuickDraw        _SetRgnSave           Sets the rgnSave field in the GrafPort ot a specified value
$41 $04  QuickDraw        _GetRgnSave           Returns the value of the rgnSave field of the GrafPort
$42 $04  QuickDraw        _SetPolySave          Sets the polySave field in the GrafPort to a specified value
$43 $04  QuickDraw        _GetPolySave          Returns the value of the polySave field of the GrafPort
$44 $04  QuickDraw        _SetGrafProcs         Sets the grafProcs field of the current GrafPort to a specified value
$45 $04  QuickDraw        _GetGrafProcs         Returns the pointer to the grafProcs record associated witht the GrafPort
$46 $04  QuickDraw        _SetUserField         Sets the userField in the GrafPort to a specified value
$47 $04  QuickDraw        _GetUserField         Returns the value of the userField field of the GrafPort
$48 $04  QuickDraw        _SetSysField          Sets the sysField field in GrafPort to a spec value - not called by an application
$49 $04  QuickDraw        _GetSysField          Returns the value of the sysField field of the GrafPort
$4A $04  QuickDraw        _SetRect              Sets a specified rectangle to specified values
$4B $04  QuickDraw        _OffsetRect           Offsets a specified rectangle by specified displacements
$4C $04  QuickDraw        _InsetRect            Insets a specified rectangle by specified displacements
$4D $04  QuickDraw        _SectRect             Calculates intersection of two rectangles & places intersection in destination rectangle
$4E $04  QuickDraw        _UnionRect            Calculates smallest rectangle that contains both src rect & places results in dest rect
$4F $04  QuickDraw        _PtInRect             Detects whether pixel below & to the right of spec point is in a specified rectangle
$50 $04  QuickDraw        _Pt2Rect              Copies spec pt to uppr left corner of spec rect & another pt to lower right corner of rect
$51 $04  QuickDraw        _EqualRect            Indicates whether two rectangles are equal
$52 $04  QuickDraw        _NotEmptyRect         Indicates whether a specified rectangle is empty
$53 $04  QuickDraw        _FrameRect            Draws the frame of a specified rectangle using the current pen mode, pattern, & size
$54 $04  QuickDraw        _PaintRect            Paints the interior of spec rectangle using the current pen mode & pattern
$55 $04  QuickDraw        _EraseRect            Erases the interior of a specified rectangle by filling it in with the backround pattern
$56 $04  QuickDraw        _InvertRect           Inverts the pixels in the interior of a specified rectangle
$57 $04  QuickDraw        _FillRect             Fills the interior of a specified rectangle with a specified pen pattern
$58 $04  QuickDraw        _FrameOval            Draws the frame of a specified oval using the current pen mode, pattern, & size
$59 $04  QuickDraw        _PaintOval            Paints the interior of spec oval using the current pen mode & pattern
$5A $04  QuickDraw        _EraseOval            Erases the interior of a specified oval by filling it in with the backround pattern
$5B $04  QuickDraw        _InvertOval           Inverts the pixels in the interior of a specified oval
$5C $04  QuickDraw        _FillOval             Fills the interior of a specified oval with a specified pen pattern
$5D $04  QuickDraw        _FrameRRect           Draws the frame of a spec round rectangle using the current pen mode, pattern & size
$5E $04  QuickDraw        _PaintRRect           Paints interior of spec round rectangle using the current pen mode & pattern
$5F $04  QuickDraw        _EraseRRect           Erases interior of a spec round rectangle by filling it in with the backround pattern
$60 $04  QuickDraw        _InvertRRect          Inverts the pixels in the interior of a specified round rectangle
$61 $04  QuickDraw        _FillRRect            Fills the interior of a specified round rectangle with a specified pen pattern
$62 $04  QuickDraw        _FrameArc             Draws the frame of a specified arc using the current pen mode, pattern, & size
$63 $04  QuickDraw        _PaintArc             Paints the interior of spec arc using the current pen mode & pattern
$64 $04  QuickDraw        _EraseArc             Erases the interior of a specified arc by filling it in with the backround pattern
$65 $04  QuickDraw        _InvertArc            Inverts the pixels in the interior of a specified arc
$66 $04  QuickDraw        _FillArc              Fills the interior of a specified arc with a specified pen pattern
$67 $04  QuickDraw        _NewRgn               Allocates space for a new region & initializes it to empty - only way to create new region
$68 $04  QuickDraw        _DisposeRgn           Deallocates the memory for a specified region
$69 $04  QuickDraw        _CopyRgn              Copies the region definition from one region to another
$6A $04  QuickDraw        _SetEmptyRgn          Destroys previous region information by setting a spec region to an empty region
$6B $04  QuickDraw        _SetRectRgn           Destroys previous region information by setting a spec region to a spec rectangle
$6C $04  QuickDraw        _RectRgn              Destroys previous region information by setting a spec region to a spec rectangle
$6D $04  QuickDraw        _OpenRgn              Allocates temp space & starts saving lines & framed shapes for latter process as rgn def
$6E $04  QuickDraw        _CloseRgn             Completes the region definition process started by an OpenRgn call
$6F $04  QuickDraw        _OffsetRgn            Moves a region on the coordinate plane a specified distance
$70 $04  QuickDraw        _InsetRgn             Shrinks or expands a specified region
$71 $04  QuickDraw        _SectRgn              Calculates intersection of two regions & places intersection in a destination region
$72 $04  QuickDraw        _UnionRgn             Calcs smallst rgn that contains evry pt that's in either src rgn & puts result in dest rgn
$73 $04  QuickDraw        _DiffRgn              Calcs the difference of two regions & places difference in a destination region
$74 $04  QuickDraw        _XorRgn               Calcs diff between the union & the intersection of 2 regions & places result in dest rgn
$75 $04  QuickDraw        _PtInRgn              Checks to see whether the pixel below & to right of a spec pt is within a spec region
$76 $04  QuickDraw        _RectInRgn            Checks whether a specified rectangle intersects a specified region
$77 $04  QuickDraw        _EqualRgn             Indicates whether two regions are equal
$78 $04  QuickDraw        _EmptyRgn             Indicates whether a specified region is empty
$79 $04  QuickDraw        _FrameRgn             Draws the frame of a specified region using current pen mode, pattern & size
$7A $04  QuickDraw        _PaintRgn             Paints the interior of a specified region using the current pen mode & pattern
$7B $04  QuickDraw        _EraseRgn             Erases the interior of a specified region by filling it with the background pattern
$7C $04  QuickDraw        _InvertRgn            Inverts the pixels in the interior of a specified region
$7D $04  QuickDraw        _FillRgn              Fills the interior of a specified region with a specified pen pattern
$7E $04  QuickDraw        _ScrollRect           Shifts pixels inside intersect of spec rect, visbl rgn, clip rgn, port rect, & bounds rect
$7F $04  QuickDraw        _PaintPixels          Transfers a region of pixels
$80 $04  QuickDraw        _AddPt                Adds two specified points together and leaves result in destination point
$81 $04  QuickDraw        _SubPt                Subtracts source point from destination point & leave result in the destination point
$82 $04  QuickDraw        _SetPt                Sets a point to specified horizontal and vertical values
$83 $04  QuickDraw        _EqualPt              Indicates whether two points are equal
$84 $04  QuickDraw        _LocalToGlobal        Converts a point from local coordinates to global coordinates
$85 $04  QuickDraw        _GlobalToLocal        Converts a point from global coordinates to local coordinates
$86 $04  QuickDraw        _Random               Returns a pseudorandom number in the range -32768 to 32767
$87 $04  QuickDraw        _SetRandSeed          Sets the seed value for the random number generator
$88 $04  QuickDraw        _GetPixel             Returns the pixel below and to the right of a specified point
$89 $04  QuickDraw        _ScalePt              Scales a specified point from a source rectangle to a destination rectangle
$8A $04  QuickDraw        _MapPt                Maps a specified point from a source rectangle to a destination rectangle
$8B $04  QuickDraw        _MapRect              Maps a specified rectangle from a source rectangle to a destination rectangle
$8C $04  QuickDraw        _MapRgn               Maps a specified region from a source rectangle to a destination rectangle
$8D $04  QuickDraw        _SetStdProcs          Sets up a specified record of pointers for customizing QuickDraw II operations
$8E $04  QuickDraw        _SetCursor            Sets the cursor to an image passed in a specified cursor record
$8F $04  QuickDraw        _GetCursorAdr         Returns a pointer to the current cursor record
$90 $04  QuickDraw        _HideCursor           Hides the cursor by decrementing the cursor level
$91 $04  QuickDraw        _ShowCursor           Shows the cursor by incrementing the cursor level
$92 $04  QuickDraw        _ObscureCursor        Hides the cursor until the mouse moves
$94 $04  QuickDraw        _SetFont              Sets the current font to a specified font
$95 $04  QuickDraw        _GetFont              Returns a handle to the current font
$96 $04  QuickDraw        _GetFontInfo          Returns information about the current font in a specified record
$97 $04  QuickDraw        _GetFontGlobals       Returns information about the current font in a specified record
$98 $04  QuickDraw        _SetFontFlags         Sets the font flags word to a specified value
$99 $04  QuickDraw        _GetFontFlags         Returns the current font flags word
$9A $04  QuickDraw        _SetTextFace          Sets the text face to a specified value
$9B $04  QuickDraw        _GetTextFace          Returns the current text face
$9C $04  QuickDraw        _SetTextMode          Sets the text mode to a specified value
$9D $04  QuickDraw        _GetTextMode          Returns the current text mode
$9E $04  QuickDraw        _SetSpaceExtra        Sets the spExtra field in the GrafPort to a specified value
$9F $04  QuickDraw        _GetSpaceExtra        Returns the value of the spExtra field from the GrafPort
$A0 $04  QuickDraw        _SetForeColor         Sets the fgColor field (foreground color) in the GrafPort to a specified value
$A1 $04  QuickDraw        _GetForeColor         Returns the value of the current fgColor field (foreground color) from the GrafPort
$A2 $04  QuickDraw        _SetBackColor         Sets the bgColor field (background color) in the GrafPort to a specified value
$A3 $04  QuickDraw        _GetBackColor         Returns the value of the current bgColor field (background color) from the GrafPort
$A4 $04  QuickDraw        _DrawChar             Draws a specified character at current pen location and updates pen location
$A5 $04  QuickDraw        _DrawString           Draws spec Pascal-type string at current pen location and updates the pen location
$A6 $04  QuickDraw        _DrawCString          Draws a specified C string at the current pen location and updates the pen location
$A7 $04  QuickDraw        _DrawText             Draws specified text at the current pen location and updates pen location
$A8 $04  QuickDraw        _CharWidth            Returns the character width, in pixels (pen displacement), of a specified character
$A9 $04  QuickDraw        _StringWidth          Returns sum of all char widths, in pixels (pen displacements), of spec Pascal-type string
$AA $04  QuickDraw        _CStringWidth         Returns sum of all char widths, in pixels (pen displacements), of spec C string
$AB $04  QuickDraw        _TextWidth            Returns the character width, in pixels (pen displacements), of specified text
$AC $04  QuickDraw        _CharBounds           Puts the character bounds rectangle of a specified character into a specified buffer
$AD $04  QuickDraw        _StringBounds         Puts the character bounds rectangle of a spec Pascal-type string into spec buffer
$AE $04  QuickDraw        _CStringBounds        Puts char bounds rectangle of a spec C string into a specified buffer
$AF $04  QuickDraw        _TextBounds           Puts the character bounds rectangle of specified text into a specified buffer
$B0 $04  QuickDraw        _SetArcRot            Sets the arcRot field in the GrafPort to a specified value
$B1 $04  QuickDraw        _GetArcRot            Returns the value of the arcRot field in the current GrafPort
$B2 $04  QuickDraw        _SetSysFont           Sets a specified font as the system font
$B3 $04  QuickDraw        _GetSysFont           Returns a handle to the current system font
$B4 $04  QuickDraw        _SetVisRgn            Copies spec region into visible region (but doesn't change visRgn field of GrafPort)
$B5 $04  QuickDraw        _GetVisRgn            Copies the contents of the visible region into a specified region
$B6 $04  QuickDraw        _SetIntUse            Indicates to the cursor drawing code whether the code should use scan line interrupts
$B7 $04  QuickDraw        _OpenPicture          Allocates mem for recording of drawing commands into a pic defin. & returns handle to pic
$B8 $04  QuickDraw        _PicComment           Inserts a specified comment into the currently open picture
$B9 $04  QuickDraw        _ClosePicture         Completes the picture definition process begun by OpenPicture call (QD Aux)
$BA $04  QuickDraw        _DrawPicture          Takes drawing commands recorded in pic defin., maps them from pic frame into dest rect.
$BB $04  QuickDraw        _KillPicture          Releases all memory occupied by a specifed picture
$BC $04  QuickDraw        _FramePoly            Draws the frame of a specified polygon using the current pen mode, pattern, & size
$BD $04  QuickDraw        _PaintPoly            Paints the interior of a specified polygon using the current pen mode & pattern
$BE $04  QuickDraw        _ErasePoly            Erases the interior of a specified polygon by filling it with the background pattern
$BF $04  QuickDraw        _InvertPoly           Inverts the pixels in the interior of a specified polygon
$C0 $04  QuickDraw        _FillPoly             Fills the interior of a specified polygon with a specified pen pattern
$C1 $04  QuickDraw        _OpenPoly             Returns a handle to a polygon data structure that will be updated by future LineTo calls
$C2 $04  QuickDraw        _ClosePoly            Completes the polygon definition process started with an OpenPoly call
$C3 $04  QuickDraw        _KillPoly             Disposes of a specified polygon
$C4 $04  QuickDraw        _OffsetPoly           Offsets a specified polygon by specified horizontal & vertical displacements
$C5 $04  QuickDraw        _MapPoly              Maps a specified polygon from a source rectangle to a destination rectangle
$C6 $04  QuickDraw        _SetClipHandle        Sets the clipRgn handle field in the GrafPort to a specified value
$C7 $04  QuickDraw        _GetClipHandle        Returns a copy of the handle to the clipping region
$C8 $04  QuickDraw        _SetVisHandle         Sets the visRgn field in the GrafPort to a specified value
$C9 $04  QuickDraw        _GetVisHandle         Returns a copy of the handle to the visible region
$CA $04  QuickDraw        _InitCursor           Reinitializes the cursor
$CB $04  QuickDraw        _SetBufDims           Sets size of QD II clipping and text buffers, padding to allow mods to chExtra & spExtra
$CC $04  QuickDraw        _ForceBufDims         Sets size of QD II clipping and text buffers, but doesn't pad values in any way
$CD $04  QuickDraw        _SaveBufDims          Saves QD II's buffer-sizing information in eight-byte record
$CE $04  QuickDraw        _RestoreBufDims       Restores QD II's internal buffers to sizes desc. in 8-byte record created by SaveBufDims
$CF $04  QuickDraw        _GetFGSize            Returns the size of the font globals record
$D0 $04  QuickDraw        _SetFontID            Sets the fontID field in the GrafPort
$D1 $04  QuickDraw        _GetFontID            Returns the fontID field of the GrafPort
$D2 $04  QuickDraw        _SetTextSize          Sets the txSize field of the GrafPort to a specified value
